mission_time_s,tx,ty,tz,error,x1,x2,x3,y1,y2,y3,z1,z2,z3
0.555701,NaN,NaN,NaN,NaN,0.013299,-1.989114,1.987905,-0.014340,-1.963948,-2.043234,0.010788,0.032742,0.040768
0.566151,NaN,NaN,NaN,NaN,0.013272,-1.989328,1.988135,-0.014265,-1.964061,-2.042882,0.010639,0.032513,0.040882
0.575005,NaN,NaN,NaN,NaN,0.013244,-1.989539,1.988368,-0.014192,-1.964173,-2.042533,0.010490,0.032295,0.041019
0.585787,NaN,NaN,NaN,NaN,0.013215,-1.989741,1.988556,-0.014119,-1.964311,-2.042140,0.010319,0.032032,0.041088
0.595691,NaN,NaN,NaN,NaN,0.013220,-1.989939,1.988944,-0.014058,-1.964449,-2.041362,0.010136,0.031780,0.041298
0.608073,NaN,NaN,NaN,NaN,0.013226,-1.990134,1.989143,-0.013938,-1.964585,-2.040977,0.009781,0.031540,0.041439
0.625940,NaN,NaN,NaN,NaN,0.013233,-1.990692,1.989451,-0.013838,-1.965054,-2.040148,0.009426,0.030785,0.041611
0.635786,NaN,NaN,NaN,NaN,0.013239,-1.990870,1.989774,-0.013799,-1.965219,-2.039329,0.009251,0.030540,0.041882
0.647190,NaN,NaN,NaN,NaN,0.013247,-1.991045,1.989941,-0.013721,-1.965382,-2.038924,0.008911,0.030308,0.042053
0.666200,NaN,NaN,NaN,NaN,0.013253,-1.991558,1.990207,-0.013670,-1.965916,-2.038056,0.008595,0.029568,0.042252
0.674766,NaN,NaN,NaN,NaN,0.013255,-1.991723,1.990489,-0.013646,-1.966099,-2.037198,0.008438,0.029327,0.042557
0.687207,NaN,NaN,NaN,NaN,0.013264,-1.991885,1.990586,-0.013589,-1.966281,-2.036775,0.008125,0.029102,0.042610
0.696844,NaN,NaN,NaN,NaN,0.013273,-1.992067,1.990686,-0.013557,-1.966475,-2.036354,0.007969,0.028820,0.042690
0.707377,NaN,NaN,NaN,NaN,0.013287,-1.992244,1.990898,-0.013494,-1.966667,-2.035519,0.007645,0.028545,0.042923
0.725729,NaN,NaN,NaN,NaN,0.013305,-1.992779,1.991056,-0.013470,-1.967241,-2.034702,0.007484,0.027767,0.042984
0.737189,NaN,NaN,NaN,NaN,0.013337,-1.992964,1.991140,-0.013421,-1.967431,-2.034296,0.007168,0.027508,0.043045
