mission_time_s,tx,ty,tz,error,x1,x2,x3,y1,y2,y3,z1,z2,z3
0.009661,NaN,NaN,NaN,NaN,-0.003674,-1.995682,2.029043,-0.008347,-2.017522,-2.044292,-0.028080,0.025291,0.052170
0.020596,NaN,NaN,NaN,NaN,-0.003871,-1.995352,2.029081,-0.008485,-2.017293,-2.044736,-0.028122,0.025143,0.052238
0.029277,NaN,NaN,NaN,NaN,-0.004260,-1.995014,2.029113,-0.008759,-2.017053,-2.044946,-0.028206,0.024960,0.052273
0.040710,NaN,NaN,NaN,NaN,-0.004451,-1.994346,2.029171,-0.008894,-2.016582,-2.045369,-0.028244,0.024609,0.052345
0.050046,NaN,NaN,NaN,NaN,-0.004651,-1.994016,2.029222,-0.009019,-2.016350,-2.045562,-0.028282,0.024437,0.052376
0.060112,NaN,NaN,NaN,NaN,-0.004849,-1.993688,2.029270,-0.009143,-2.016108,-2.045756,-0.028316,0.024242,0.052410
0.069138,NaN,NaN,NaN,NaN,-0.005045,-1.993363,2.029317,-0.009265,-2.015869,-2.045952,-0.028358,0.024048,0.052471
0.081545,NaN,NaN,NaN,NaN,-0.005435,-1.992720,2.029361,-0.009504,-2.015401,-2.046149,-0.028442,0.023674,0.052532
0.089655,NaN,NaN,NaN,NaN,-0.005629,-1.992415,2.029449,-0.009620,-2.015164,-2.046486,-0.028481,0.023449,0.052643
0.100124,NaN,NaN,NaN,NaN,-0.005821,-1.992113,2.029490,-0.009736,-2.014930,-2.046657,-0.028519,0.023228,0.052700
0.109192,NaN,NaN,NaN,NaN,-0.006011,-1.991813,2.029529,-0.009850,-2.014698,-2.046830,-0.028557,0.023010,0.052757
0.120722,NaN,NaN,NaN,NaN,-0.006396,-1.991240,2.029553,-0.010076,-2.014240,-2.046976,-0.028614,0.022564,0.052803
0.129605,NaN,NaN,NaN,NaN,-0.006590,-1.990966,2.029594,-0.010186,-2.014014,-2.047276,-0.028641,0.022335,0.052891
0.141171,NaN,NaN,NaN,NaN,-0.006972,-1.990695,2.029613,-0.010404,-2.013790,-2.047429,-0.028687,0.022110,0.052937
0.149761,NaN,NaN,NaN,NaN,-0.007159,-1.990425,2.029612,-0.010513,-2.013569,-2.047559,-0.028709,0.021889,0.052948
0.160090,NaN,NaN,NaN,NaN,-0.007344,-1.989912,2.029609,-0.010621,-2.013104,-2.047691,-0.028728,0.021385,0.052967
0.169117,NaN,NaN,NaN,NaN,-0.007528,-1.989658,2.029600,-0.010728,-2.012876,-2.047963,-0.028748,0.021141,0.053009
0.181998,NaN,NaN,NaN,NaN,-0.007710,-1.989406,2.029589,-0.010833,-2.012651,-2.048086,-0.028767,0.020901,0.053001
0.200108,NaN,NaN,NaN,NaN,-0.008263,-1.988690,2.029565,-0.011177,-2.011981,-2.048341,-0.028782,0.020084,0.053017
0.209536,NaN,NaN,NaN,NaN,-0.008445,-1.988454,2.029551,-0.011289,-2.011764,-2.048471,-0.028786,0.019833,0.053028
0.221182,NaN,NaN,NaN,NaN,-0.008642,-1.988229,2.029537,-0.011403,-2.011537,-2.048738,-0.028790,0.019547,0.052986
0.229279,NaN,NaN,NaN,NaN,-0.009030,-1.988005,2.029529,-0.011625,-2.011313,-2.048875,-0.028790,0.019272,0.052971
0.241424,NaN,NaN,NaN,NaN,-0.009221,-1.987562,2.029507,-0.011735,-2.010873,-2.049153,-0.028786,0.018730,0.052956
0.249992,NaN,NaN,NaN,NaN,-0.009414,-1.987343,2.029500,-0.011852,-2.010656,-2.049293,-0.028744,0.018467,0.052929
0.260316,NaN,NaN,NaN,NaN,-0.009604,-1.987130,2.029492,-0.011967,-2.010433,-2.049434,-0.028698,0.018177,0.052902
0.269531,NaN,NaN,NaN,NaN,-0.009792,-1.986917,2.029482,-0.012081,-2.010212,-2.049577,-0.028652,0.017895,0.052879
0.280233,NaN,NaN,NaN,NaN,-0.010159,-1.986497,2.029471,-0.012324,-2.009778,-2.049722,-0.028549,0.017380,0.052860
0.289937,NaN,NaN,NaN,NaN,-0.010337,-1.986293,2.029450,-0.012454,-2.009548,-2.049974,-0.028488,0.017101,0.052761
0.300216,NaN,NaN,NaN,NaN,-0.010515,-1.986090,2.029437,-0.012582,-2.009321,-2.050103,-0.028431,0.016827,0.052715
0.309231,NaN,NaN,NaN,NaN,-0.010691,-1.985687,2.029423,-0.012709,-2.008875,-2.050234,-0.028393,0.016296,0.052670
0.320194,NaN,NaN,NaN,NaN,-0.011047,-1.985490,2.029418,-0.012979,-2.008635,-2.050358,-0.028294,0.016014,0.052578
0.329126,NaN,NaN,NaN,NaN,-0.011223,-1.985293,2.029414,-0.013111,-2.008397,-2.050604,-0.028244,0.015743,0.052414
0.341386,NaN,NaN,NaN,NaN,-0.011398,-1.985096,2.029440,-0.013242,-2.008162,-2.050713,-0.028194,0.015472,0.052361
0.350766,NaN,NaN,NaN,NaN,-0.011581,-1.984710,2.029458,-0.013370,-2.007674,-2.050841,-0.028149,0.014935,0.052242
0.360106,NaN,NaN,NaN,NaN,-0.011945,-1.984521,2.029474,-0.013622,-2.007423,-2.050972,-0.028053,0.014668,0.052128
0.380324,NaN,NaN,NaN,NaN,-0.012302,-1.984145,2.029479,-0.013866,-2.006928,-2.051397,-0.027966,0.014149,0.051807
0.390201,NaN,NaN,NaN,NaN,-0.012709,-1.983977,2.029500,-0.014132,-2.006667,-2.051527,-0.027905,0.013889,0.051674
0.400358,NaN,NaN,NaN,NaN,-0.012910,-1.983644,2.029520,-0.014263,-2.006154,-2.051659,-0.027874,0.013424,0.051544
0.409990,NaN,NaN,NaN,NaN,-0.013110,-1.983478,2.029558,-0.014391,-2.005902,-2.051916,-0.027843,0.013195,0.051262
0.420439,NaN,NaN,NaN,NaN,-0.013323,-1.983329,2.029578,-0.014529,-2.005655,-2.052041,-0.027836,0.012955,0.051105
0.441209,NaN,NaN,NaN,NaN,-0.013954,-1.983032,2.029611,-0.014933,-2.005169,-2.052298,-0.027794,0.012482,0.050777
