mission_time_s,tx,ty,tz,error,x1,x2,x3,y1,y2,y3,z1,z2,z3
0.060936,NaN,NaN,NaN,NaN,-0.005072,-1.988324,1.961372,0.021270,-1.960024,-2.004039,0.035732,0.108742,0.046963
0.070653,NaN,NaN,NaN,NaN,-0.005029,-1.988000,1.961338,0.021451,-1.960042,-2.004033,0.035732,0.108730,0.047184
0.080744,NaN,NaN,NaN,NaN,-0.004987,-1.987339,1.961304,0.021633,-1.960071,-2.004026,0.035728,0.108727,0.047401
0.090947,NaN,NaN,NaN,NaN,-0.004910,-1.987004,1.961246,0.021973,-1.960083,-2.003993,0.035717,0.108734,0.047798
0.099602,NaN,NaN,NaN,NaN,-0.004874,-1.986673,1.961215,0.022131,-1.960095,-2.003977,0.035706,0.108746,0.047989
0.120008,NaN,NaN,NaN,NaN,-0.004806,-1.985701,1.961119,0.022448,-1.960110,-2.003896,0.035683,0.108791,0.048561
0.131096,NaN,NaN,NaN,NaN,-0.004734,-1.985386,1.961086,0.022742,-1.960113,-2.003864,0.035610,0.108814,0.048748
0.151054,NaN,NaN,NaN,NaN,-0.004664,-1.984756,1.961037,0.023036,-1.960099,-2.003799,0.035542,0.108871,0.049133
0.170725,NaN,NaN,NaN,NaN,-0.004571,-1.983842,1.960985,0.023423,-1.960061,-2.003702,0.035278,0.109001,0.049713
0.180438,NaN,NaN,NaN,NaN,-0.004542,-1.983573,1.960971,0.023552,-1.960038,-2.003673,0.035194,0.109077,0.049927
0.191068,NaN,NaN,NaN,NaN,-0.004509,-1.983272,1.960956,0.023661,-1.959996,-2.003644,0.035076,0.109150,0.050133
0.199382,NaN,NaN,NaN,NaN,-0.004446,-1.982632,1.960924,0.023880,-1.959890,-2.003587,0.034843,0.109337,0.050545
0.220817,NaN,NaN,NaN,NaN,-0.004389,-1.982047,1.960889,0.024099,-1.959786,-2.003539,0.034649,0.109512,0.050980
0.230674,NaN,NaN,NaN,NaN,-0.004363,-1.981753,1.960869,0.024173,-1.959722,-2.003519,0.034527,0.109604,0.051205
0.240096,NaN,NaN,NaN,NaN,-0.004316,-1.981464,1.960849,0.024322,-1.959659,-2.003498,0.034286,0.109703,0.051422
0.259816,NaN,NaN,NaN,NaN,-0.004289,-1.980572,1.960764,0.024419,-1.959442,-2.003443,0.034046,0.109959,0.052109
0.271317,NaN,NaN,NaN,NaN,-0.004279,-1.980276,1.960699,0.024467,-1.959367,-2.003407,0.033825,0.110043,0.052582
0.290841,NaN,NaN,NaN,NaN,-0.004290,-1.979380,1.960620,0.024469,-1.959113,-2.003385,0.033611,0.110302,0.053082
0.299707,NaN,NaN,NaN,NaN,-0.004307,-1.979084,1.960580,0.024448,-1.959024,-2.003374,0.033489,0.110394,0.053326
0.312539,NaN,NaN,NaN,NaN,-0.004323,-1.978501,1.960507,0.024428,-1.958834,-2.003344,0.033375,0.110592,0.053818
0.319856,NaN,NaN,NaN,NaN,-0.004378,-1.978215,1.960474,0.024358,-1.958732,-2.003326,0.033104,0.110691,0.054073
0.331026,NaN,NaN,NaN,NaN,-0.004416,-1.977931,1.960441,0.024308,-1.958631,-2.003307,0.032978,0.110798,0.054325
0.339964,NaN,NaN,NaN,NaN,-0.004453,-1.977651,1.960408,0.024260,-1.958532,-2.003289,0.032852,0.110909,0.054569
0.350832,NaN,NaN,NaN,NaN,-0.004530,-1.977380,1.960368,0.024147,-1.958422,-2.003277,0.032578,0.111004,0.054832
0.359962,NaN,NaN,NaN,NaN,-0.004570,-1.976845,1.960290,0.024083,-1.958204,-2.003251,0.032425,0.111191,0.055347
0.372650,NaN,NaN,NaN,NaN,-0.004647,-1.976582,1.960250,0.023957,-1.958097,-2.003238,0.032135,0.111286,0.055595
0.391376,NaN,NaN,NaN,NaN,-0.004681,-1.976038,1.960161,0.023879,-1.957878,-2.003214,0.031963,0.111473,0.056091
0.411888,NaN,NaN,NaN,NaN,-0.004782,-1.975230,1.960017,0.023656,-1.957584,-2.003182,0.031471,0.111771,0.056805
0.420439,NaN,NaN,NaN,NaN,-0.004819,-1.974958,1.959964,0.023560,-1.957504,-2.003175,0.031284,0.111866,0.057045
0.431470,NaN,NaN,NaN,NaN,-0.004856,-1.974689,1.959910,0.023467,-1.957425,-2.003169,0.031105,0.111973,0.057281
0.439924,NaN,NaN,NaN,NaN,-0.004928,-1.974421,1.959856,0.023286,-1.957347,-2.003163,0.030754,0.112083,0.057510
0.460280,NaN,NaN,NaN,NaN,-0.004997,-1.973627,1.959706,0.023074,-1.957183,-2.003178,0.030411,0.112400,0.058132
0.472178,NaN,NaN,NaN,NaN,-0.005066,-1.973108,1.959607,0.022871,-1.957076,-2.003188,0.030083,0.112633,0.058533
0.490750,NaN,NaN,NaN,NaN,-0.005135,-1.972616,1.959497,0.022660,-1.957036,-2.003217,0.029766,0.112827,0.058918
0.499715,NaN,NaN,NaN,NaN,-0.005171,-1.972373,1.959442,0.022550,-1.957017,-2.003232,0.029613,0.112930,0.059109
0.521367,NaN,NaN,NaN,NaN,-0.005294,-1.971664,1.959240,0.022211,-1.957022,-2.003288,0.029179,0.113220,0.059628
0.530698,NaN,NaN,NaN,NaN,-0.005346,-1.971432,1.959167,0.022090,-1.957034,-2.003308,0.029037,0.113316,0.059795
0.539871,NaN,NaN,NaN,NaN,-0.005397,-1.971202,1.959094,0.021971,-1.957047,-2.003329,0.028896,0.113419,0.059956
