mission_time_s,tx,ty,tz,error,x1,x2,x3,y1,y2,y3,z1,z2,z3
1.661749,NaN,NaN,NaN,NaN,0.003435,-2.063051,1.975965,0.010365,-2.038266,-1.965776,0.055897,0.019093,-0.019054
1.673438,NaN,NaN,NaN,NaN,0.003446,-2.063111,1.975986,0.010521,-2.038241,-1.965733,0.056000,0.019142,-0.019081
1.681432,NaN,NaN,NaN,NaN,0.003481,-2.063158,1.976009,0.010679,-2.038176,-1.965703,0.056126,0.019188,-0.019138
1.691421,NaN,NaN,NaN,NaN,0.003544,-2.063207,1.976057,0.010983,-2.038113,-1.965646,0.056374,0.019238,-0.019241
1.703107,NaN,NaN,NaN,NaN,0.003571,-2.063304,1.976082,0.011128,-2.037999,-1.965618,0.056496,0.019337,-0.019295
1.710763,NaN,NaN,NaN,NaN,0.003627,-2.063336,1.976106,0.011280,-2.037903,-1.965602,0.056637,0.019390,-0.019363
1.721116,NaN,NaN,NaN,NaN,0.003680,-2.063368,1.976131,0.011428,-2.037810,-1.965587,0.056770,0.019447,-0.019436
1.730255,NaN,NaN,NaN,NaN,0.003730,-2.063433,1.976182,0.011572,-2.037637,-1.965557,0.056908,0.019550,-0.019573
1.741401,NaN,NaN,NaN,NaN,0.003855,-2.063439,1.976221,0.011860,-2.037510,-1.965558,0.057178,0.019619,-0.019653
1.750847,NaN,NaN,NaN,NaN,0.003929,-2.063446,1.976260,0.012005,-2.037388,-1.965559,0.057320,0.019684,-0.019730
1.761183,NaN,NaN,NaN,NaN,0.004001,-2.063454,1.976299,0.012145,-2.037269,-1.965560,0.057457,0.019753,-0.019810
1.771012,NaN,NaN,NaN,NaN,0.004069,-2.063452,1.976375,0.012282,-2.037004,-1.965567,0.057575,0.019894,-0.019978
1.781601,NaN,NaN,NaN,NaN,0.004254,-2.063442,1.976412,0.012556,-2.036857,-1.965573,0.057781,0.019970,-0.020069
1.789918,NaN,NaN,NaN,NaN,0.004343,-2.063433,1.976448,0.012687,-2.036715,-1.965580,0.057888,0.020042,-0.020161
1.802991,NaN,NaN,NaN,NaN,0.004511,-2.063424,1.976521,0.012940,-2.036578,-1.965593,0.058090,0.020115,-0.020336
1.810381,NaN,NaN,NaN,NaN,0.004604,-2.063416,1.976557,0.013060,-2.036444,-1.965609,0.058182,0.020191,-0.020439
1.821182,NaN,NaN,NaN,NaN,0.004695,-2.063375,1.976593,0.013178,-2.036096,-1.965625,0.058254,0.020351,-0.020538
1.830668,NaN,NaN,NaN,NaN,0.004782,-2.063355,1.976629,0.013293,-2.035928,-1.965641,0.058331,0.020435,-0.020638
1.841160,NaN,NaN,NaN,NaN,0.004866,-2.063337,1.976665,0.013404,-2.035764,-1.965657,0.058403,0.020515,-0.020737
1.850039,NaN,NaN,NaN,NaN,0.004981,-2.063318,1.976732,0.013513,-2.035545,-1.965690,0.058472,0.020599,-0.020939
1.861745,NaN,NaN,NaN,NaN,0.005202,-2.063281,1.976765,0.013721,-2.035121,-1.965706,0.058605,0.020771,-0.021034
1.870784,NaN,NaN,NaN,NaN,0.005308,-2.063264,1.976799,0.013821,-2.034917,-1.965722,0.058674,0.020855,-0.021130
1.881344,NaN,NaN,NaN,NaN,0.005453,-2.063254,1.976830,0.013911,-2.034676,-1.965736,0.058739,0.020939,-0.021221
1.889888,NaN,NaN,NaN,NaN,0.005734,-2.063245,1.976862,0.014081,-2.034439,-1.965751,0.058887,0.021023,-0.021313
1.903783,NaN,NaN,NaN,NaN,0.005870,-2.063225,1.976924,0.014162,-2.033983,-1.965780,0.058960,0.021194,-0.021492
1.911196,NaN,NaN,NaN,NaN,0.006049,-2.063221,1.976955,0.014232,-2.033722,-1.965785,0.059025,0.021282,-0.021584
1.921079,NaN,NaN,NaN,NaN,0.006224,-2.063216,1.976986,0.014300,-2.033467,-1.965790,0.059086,0.021370,-0.021675
1.930719,NaN,NaN,NaN,NaN,0.006563,-2.063209,1.977047,0.014428,-2.032973,-1.965801,0.059216,0.021545,-0.021824
1.941200,NaN,NaN,NaN,NaN,0.006753,-2.063214,1.977063,0.014476,-2.032711,-1.965799,0.059269,0.021637,-0.021893
1.950038,NaN,NaN,NaN,NaN,0.006939,-2.063219,1.977080,0.014521,-2.032454,-1.965796,0.059319,0.021725,-0.021965
1.961936,NaN,NaN,NaN,NaN,0.007122,-2.063224,1.977114,0.014565,-2.032203,-1.965790,0.059372,0.021816,-0.022102
1.971664,NaN,NaN,NaN,NaN,0.007301,-2.063228,1.977120,0.014606,-2.031956,-1.965792,0.059425,0.021900,-0.022167
1.981215,NaN,NaN,NaN,NaN,0.007708,-2.063239,1.977127,0.014654,-2.031704,-1.965793,0.059513,0.021988,-0.022236
1.989963,NaN,NaN,NaN,NaN,0.007906,-2.063261,1.977135,0.014676,-2.031216,-1.965793,0.059559,0.022163,-0.022301
2.002035,NaN,NaN,NaN,NaN,0.008099,-2.063272,1.977143,0.014697,-2.030980,-1.965794,0.059608,0.022251,-0.022369
2.010076,NaN,NaN,NaN,NaN,0.008549,-2.063283,1.977130,0.014719,-2.030739,-1.965783,0.059669,0.022331,-0.022484
2.021217,NaN,NaN,NaN,NaN,0.008767,-2.063305,1.977124,0.014728,-2.030273,-1.965777,0.059700,0.022495,-0.022545
2.030091,NaN,NaN,NaN,NaN,0.008982,-2.063315,1.977120,0.014736,-2.030047,-1.965771,0.059734,0.022575,-0.022602
2.041193,NaN,NaN,NaN,NaN,0.009219,-2.063324,1.977112,0.014737,-2.029810,-1.965763,0.059761,0.022659,-0.022667
2.050049,NaN,NaN,NaN,NaN,0.009452,-2.063334,1.977098,0.014738,-2.029578,-1.965747,0.059792,0.022743,-0.022839
2.062770,NaN,NaN,NaN,NaN,0.009904,-2.063342,1.977091,0.014735,-2.029351,-1.965739,0.059845,0.022827,-0.022919
2.071750,NaN,NaN,NaN,NaN,0.010124,-2.063359,1.977084,0.014733,-2.028912,-1.965730,0.059868,0.022991,-0.023003
2.081236,NaN,NaN,NaN,NaN,0.010361,-2.063384,1.977078,0.014741,-2.028676,-1.965710,0.059883,0.023083,-0.023083
2.090428,NaN,NaN,NaN,NaN,0.010824,-2.063408,1.977073,0.014754,-2.028445,-1.965690,0.059914,0.023167,-0.023163
2.101270,NaN,NaN,NaN,NaN,0.011048,-2.063455,1.977061,0.014758,-2.027999,-1.965650,0.059933,0.023335,-0.023312
2.110412,NaN,NaN,NaN,NaN,0.011293,-2.063499,1.977063,0.014783,-2.027768,-1.965628,0.059937,0.023426,-0.023376
2.121118,NaN,NaN,NaN,NaN,0.011534,-2.063542,1.977066,0.014807,-2.027543,-1.965606,0.059944,0.023518,-0.023441
2.131374,NaN,NaN,NaN,NaN,0.011770,-2.063585,1.977069,0.014829,-2.027323,-1.965563,0.059952,0.023609,-0.023571
