mission_time_s,tx,ty,tz,error,x1,x2,x3,y1,y2,y3,z1,z2,z3
7.416715,NaN,NaN,NaN,NaN,-0.057769,-1.910912,1.996718,0.030317,-2.026534,-2.011267,0.001392,0.227180,0.014046
7.434872,NaN,NaN,NaN,NaN,-0.057770,-1.911342,1.996734,0.030275,-2.026338,-2.011051,0.001266,0.228359,0.013988
7.443909,NaN,NaN,NaN,NaN,-0.057774,-1.911557,1.996733,0.030203,-2.026247,-2.010834,0.001022,0.228912,0.013935
7.455859,NaN,NaN,NaN,NaN,-0.057776,-1.911988,1.996733,0.030172,-2.026058,-2.010729,0.000900,0.230179,0.013908
7.464969,NaN,NaN,NaN,NaN,-0.057832,-1.912208,1.996705,0.030116,-2.025961,-2.010619,0.000679,0.230656,0.013859
7.474670,NaN,NaN,NaN,NaN,-0.057859,-1.912428,1.996677,0.030094,-2.025862,-2.010511,0.000572,0.231190,0.013813
7.495180,NaN,NaN,NaN,NaN,-0.057932,-1.913085,1.996573,0.030054,-2.025563,-2.010201,0.000374,0.232807,0.013664
7.514537,NaN,NaN,NaN,NaN,-0.058065,-1.913512,1.996477,0.030012,-2.025366,-2.010005,0.000122,0.233841,0.013535
7.534970,NaN,NaN,NaN,NaN,-0.058176,-1.914127,1.996300,0.029986,-2.025083,-2.009710,-0.000023,0.235325,0.013340
7.556026,NaN,NaN,NaN,NaN,-0.058374,-1.914529,1.996175,0.029954,-2.024895,-2.009520,-0.000217,0.236416,0.013218
7.564136,NaN,NaN,NaN,NaN,-0.058460,-1.914713,1.996080,0.029936,-2.024824,-2.009413,-0.000282,0.236794,0.013142
7.583438,NaN,NaN,NaN,NaN,-0.058545,-1.915271,1.995801,0.029921,-2.024598,-2.009101,-0.000340,0.238274,0.012936
7.594779,NaN,NaN,NaN,NaN,-0.058715,-1.915450,1.995679,0.029900,-2.024535,-2.008992,-0.000454,0.238628,0.012844
7.604112,NaN,NaN,NaN,NaN,-0.058801,-1.915630,1.995439,0.029875,-2.024470,-2.008783,-0.000511,0.239040,0.012676
7.614644,NaN,NaN,NaN,NaN,-0.058974,-1.915993,1.995320,0.029837,-2.024333,-2.008683,-0.000614,0.240028,0.012596
7.634600,NaN,NaN,NaN,NaN,-0.059146,-1.916377,1.995035,0.029792,-2.024206,-2.008465,-0.000713,0.240715,0.012386
