mission_time_s,tx,ty,tz,error,d1,d2,d3,x1,x2,x3,y1,y2,y3,z1,z2,z3
0.015782,NaN,NaN,NaN,NaN,0,0,0,0.028453,-1.972761,1.975278,0.015738,-2.006186,-1.973759,0.051098,0.042191,-0.004879
0.026203,NaN,NaN,NaN,NaN,0,0,0,0.028483,-1.972106,1.975276,0.015857,-2.006884,-1.973711,0.051136,0.042206,-0.004974
0.035873,NaN,NaN,NaN,NaN,0,0,0,0.028514,-1.971888,1.975274,0.015975,-2.007117,-1.973662,0.051174,0.042213,-0.005066
0.047359,NaN,NaN,NaN,NaN,0,0,0,0.028582,-1.971673,1.975274,0.016210,-2.007347,-1.973615,0.051247,0.042221,-0.005157
0.065861,NaN,NaN,NaN,NaN,0,0,0,0.028616,-1.970991,1.975198,0.016433,-2.008081,-1.973487,0.051331,0.042236,-0.005421
0.074567,NaN,NaN,NaN,NaN,0,0,0,0.028658,-1.970770,1.975190,0.016655,-2.008318,-1.973436,0.051418,0.042236,-0.005527
0.087026,NaN,NaN,NaN,NaN,0,0,0,0.028655,-1.970547,1.975177,0.016762,-2.008583,-1.973384,0.051460,0.042248,-0.005642
0.096573,NaN,NaN,NaN,NaN,0,0,0,0.028654,-1.970328,1.975151,0.016868,-2.008844,-1.973283,0.051502,0.042263,-0.005863
0.115849,NaN,NaN,NaN,NaN,0,0,0,0.028659,-1.969701,1.975110,0.017079,-2.009641,-1.973178,0.051586,0.042324,-0.006088
0.125978,NaN,NaN,NaN,NaN,0,0,0,0.028632,-1.969508,1.975081,0.017305,-2.009923,-1.973123,0.051655,0.042374,-0.006203
0.135210,NaN,NaN,NaN,NaN,0,0,0,0.028622,-1.969127,1.975053,0.017417,-2.010477,-1.973070,0.051693,0.042469,-0.006313
0.147773,NaN,NaN,NaN,NaN,0,0,0,0.028614,-1.968964,1.974966,0.017528,-2.010786,-1.972961,0.051720,0.042549,-0.006538
0.156534,NaN,NaN,NaN,NaN,0,0,0,0.028586,-1.968802,1.974907,0.017654,-2.011090,-1.972906,0.051743,0.042629,-0.006649
0.165871,NaN,NaN,NaN,NaN,0,0,0,0.028539,-1.968642,1.974849,0.017904,-2.011390,-1.972852,0.051785,0.042709,-0.006760
0.185860,NaN,NaN,NaN,NaN,0,0,0,0.028519,-1.968199,1.974661,0.018027,-2.012286,-1.972693,0.051807,0.042957,-0.007080
0.196061,NaN,NaN,NaN,NaN,0,0,0,0.028450,-1.968073,1.974588,0.018278,-2.012592,-1.972640,0.051853,0.043053,-0.007187
0.224912,NaN,NaN,NaN,NaN,0,0,0,0.028389,-1.967948,1.974446,0.018525,-2.012895,-1.972536,0.051880,0.043144,-0.007393
0.233690,NaN,NaN,NaN,NaN,0,0,0,0.028339,-1.967824,1.974362,0.018642,-2.013193,-1.972467,0.051891,0.043236,-0.007500
0.243396,NaN,NaN,NaN,NaN,0,0,0,0.028291,-1.967620,1.974279,0.018758,-2.013821,-1.972400,0.051903,0.043446,-0.007607
0.263330,NaN,NaN,NaN,NaN,0,0,0,0.028143,-1.967520,1.974119,0.019102,-2.014128,-1.972268,0.051945,0.043549,-0.007797
0.272431,NaN,NaN,NaN,NaN,0,0,0,0.028088,-1.967242,1.974033,0.019215,-2.015048,-1.972184,0.051960,0.043900,-0.007896
0.284535,NaN,NaN,NaN,NaN,0,0,0,0.028035,-1.967154,1.973867,0.019327,-2.015349,-1.972021,0.051983,0.044014,-0.008091
