mission_time_s,tx,ty,tz,error,x1,x2,x3,y1,y2,y3,z1,z2,z3
2.295766,NaN,NaN,NaN,NaN,-0.004373,-2.045570,2.001322,-0.023023,-1.977463,-1.985938,-14.989441,-0.014931,-0.041634
2.307169,NaN,NaN,NaN,NaN,-0.004319,-2.045595,2.001639,-0.023200,-1.977476,-1.985835,-14.989513,-0.014996,-0.041637
2.318099,NaN,NaN,NaN,NaN,-0.004224,-2.045578,2.001953,-0.023569,-1.977530,-1.985733,-14.989674,-0.015095,-0.041641
2.336092,NaN,NaN,NaN,NaN,-0.004120,-2.045578,2.002574,-0.023921,-1.977579,-1.985529,-14.989822,-0.015182,-0.041649
2.348108,NaN,NaN,NaN,NaN,-0.004075,-2.045499,2.003190,-0.024105,-1.977636,-1.985317,-14.989895,-0.015255,-0.041634
2.368197,NaN,NaN,NaN,NaN,-0.003925,-2.045439,2.003796,-0.024631,-1.977687,-1.985104,-14.990093,-0.015312,-0.041672
2.377526,NaN,NaN,NaN,NaN,-0.003877,-2.045368,2.004376,-0.024814,-1.977726,-1.984880,-14.990158,-0.015327,-0.041718
2.386962,NaN,NaN,NaN,NaN,-0.003825,-2.045242,2.004662,-0.024993,-1.977798,-1.984769,-14.990215,-0.015354,-0.041740
2.395774,NaN,NaN,NaN,NaN,-0.003771,-2.045188,2.004946,-0.025167,-1.977831,-1.984658,-14.990273,-0.015366,-0.041756
2.407478,NaN,NaN,NaN,NaN,-0.003661,-2.045138,2.005228,-0.025502,-1.977864,-1.984548,-14.990395,-0.015373,-0.041771
2.426871,NaN,NaN,NaN,NaN,-0.003546,-2.044882,2.005987,-0.025822,-1.977985,-1.984223,-14.990551,-0.015350,-0.041851
2.436698,NaN,NaN,NaN,NaN,-0.003413,-2.044809,2.006237,-0.026121,-1.978022,-1.984115,-14.990715,-0.015339,-0.041874
2.448661,NaN,NaN,NaN,NaN,-0.003339,-2.044698,2.006454,-0.026263,-1.978083,-1.984023,-14.990799,-0.015316,-0.041904
2.468102,NaN,NaN,NaN,NaN,-0.003262,-2.044493,2.007100,-0.026400,-1.978198,-1.983745,-14.990875,-0.015263,-0.041988
2.477236,NaN,NaN,NaN,NaN,-0.003093,-2.044291,2.007293,-0.026649,-1.978339,-1.983670,-14.991051,-0.015182,-0.042019
2.487219,NaN,NaN,NaN,NaN,-0.002907,-2.044189,2.007485,-0.026870,-1.978422,-1.983595,-14.991230,-0.015125,-0.042046
2.495616,NaN,NaN,NaN,NaN,-0.002811,-2.044092,2.007676,-0.026975,-1.978504,-1.983519,-14.991314,-0.015068,-0.042076
2.507129,NaN,NaN,NaN,NaN,-0.002699,-2.043887,2.008024,-0.027067,-1.978702,-1.983381,-14.991413,-0.014938,-0.042141
2.526876,NaN,NaN,NaN,NaN,-0.002585,-2.043677,2.008337,-0.027154,-1.978934,-1.983256,-14.991508,-0.014790,-0.042213
2.536709,NaN,NaN,NaN,NaN,-0.002235,-2.043582,2.008494,-0.027396,-1.979045,-1.983192,-14.991783,-0.014717,-0.042244
2.548163,NaN,NaN,NaN,NaN,-0.002117,-2.043349,2.008755,-0.027465,-1.979331,-1.983106,-14.991886,-0.014511,-0.042328
2.555688,NaN,NaN,NaN,NaN,-0.001878,-2.043242,2.008886,-0.027594,-1.979469,-1.983062,-14.992081,-0.014408,-0.042370
2.568990,NaN,NaN,NaN,NaN,-0.001755,-2.043140,2.009018,-0.027654,-1.979604,-1.983017,-14.992176,-0.014309,-0.042404
2.576452,NaN,NaN,NaN,NaN,-0.001641,-2.043016,2.009215,-0.027714,-1.979762,-1.982937,-14.992287,-0.014191,-0.042511
2.586994,NaN,NaN,NaN,NaN,-0.001525,-2.042787,2.009315,-0.027771,-1.980070,-1.982896,-14.992393,-0.013958,-0.042561
